1,24.1181563919
2,21.8207756411
3,25.1792288624
4,22.865746212
5,24.1107860916
6,23.8880358276
7,24.9946256494
8,22.2230446297
9,23.8248545548
10,23.0701989932
11,23.9360093694
12,23.1678736469
13,22.4977441769
14,22.7604809883
15,23.4862126638
16,25.0208550693
17,25.4254755098
18,23.9740301522
19,25.3054416667
20,23.1440263427
21,23.35845274
22,22.402229336
23,24.0336832008
24,24.9594222845
25,24.4124737185
26,22.9455507292
27,23.5434130877
28,22.6339778345
29,22.8535615541
30,22.3391147386
31,24.7664663122
32,24.7579507407
33,25.4515426277
34,25.0925565081
35,22.9064066025
36,23.6185302934
37,23.5494034226
38,22.3036876498
39,25.2574577099
40,21.9799831079
41,23.8469380757
42,23.458285937
43,24.4697056504
44,26.7711291783
45,24.6385684464
46,21.7246207737
47,23.2528900948
48,25.6257046622
49,23.8417461375
50,26.4281885305
51,22.6143059937
52,25.6038066138
53,23.319841762
54,24.2257908185
55,23.8255965832
56,24.2850827779
57,24.954170841
58,24.2370233649
59,23.2126127455
60,24.8389039448
61,22.5757197351
62,22.2419129194
63,25.1917748286
64,22.9931463952
65,24.9570922649
66,24.849516349
67,22.6518667044
68,24.3219650529
69,23.3569507689
70,22.5551803756
71,24.524433949
72,23.2319961108
73,26.1042441672
74,23.7483862028
75,22.9959079712
76,24.6464341952
77,25.1544876379
78,25.010710026
79,23.1546057854
80,24.924284184
81,23.2369579395
82,23.1533647133
83,23.0912468457
84,22.1770712959
85,24.8236261677
86,26.8826372398
87,25.4776731164
88,25.7990598342
89,24.1579055183
90,25.892372426
91,23.925263372
92,23.5657104633
93,25.0879318489
94,23.6625168866
95,24.1223976251
96,23.2671135452
97,25.4238776794
98,25.6572782085
99,22.0255382214
100,23.8289436138
101,24.5550037099
102,23.8382052581
103,23.6898015664
104,23.4875679947
105,23.323050857
106,23.4494863711
107,24.0684204933
108,23.0392205354
109,22.5546526303
110,25.0736247574
111,23.0659706375
112,23.1129042726
113,23.8193601605
114,22.4389903848
115,21.8038124974
116,23.5979342819
117,22.6019540869
118,24.1065573582
119,25.2941248276
120,24.1277402351
121,23.6162049122
